path;lastModified;valid
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_37";"2023-12-05T18:05:41";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_37/tifSicher";"2023-09-22T10:37:21";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_37/tifSicher/r";"2023-09-22T10:37:19";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_37/tifSicher/v";"2023-09-22T10:44:29";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_37/jpg";"2023-09-22T10:45:01";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_37/tif";"2023-09-22T10:57:57";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_38";"2023-12-05T18:06:03";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_38/tif";"2023-09-22T11:11:30";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_38/tifSicher";"2023-09-22T11:18:49";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_38/tifSicher/r";"2023-09-22T11:18:47";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_38/tifSicher/v";"2023-09-22T11:26:02";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_38/jpg";"2023-09-22T11:26:35";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_39";"2023-12-05T18:06:27";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_39/tif";"2023-09-22T11:46:05";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_39/tifSicher";"2023-09-22T11:56:43";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_39/tifSicher/r";"2023-09-22T11:56:40";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_39/tifSicher/v";"2023-09-22T12:07:22";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_39/jpg";"2023-09-22T12:08:10";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_40";"2024-08-07T15:32:56";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_40/jpg";"2023-09-22T12:27:56";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_40/tiffSicher";"2023-09-22T12:38:24";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_40/tiffSicher/r";"2023-09-22T12:38:21";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_40/tiffSicher/v";"2023-09-22T12:49:03";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_40/tif";"2023-09-22T12:27:29";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_41";"2023-12-05T18:07:51";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_41/tif";"2023-09-22T13:07:51";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_41/tifSicher";"2023-09-22T13:18:07";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_41/tifSicher/r";"2023-09-22T13:18:04";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_41/tifSicher/v";"2023-09-22T13:28:32";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_41/jpg";"2023-09-22T13:28:59";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42";"2023-12-05T18:08:28";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/tif";"2023-09-22T13:41:30";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/tifSicher";"2023-09-22T13:48:19";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/tifSicher/r";"2023-09-22T13:48:16";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/tifSicher/v";"2023-09-22T13:54:57";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_42/jpg";"2023-09-22T13:55:24";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_43";"2023-12-05T18:08:48";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_43/tif";"2023-09-22T14:12:50";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_43/jpg";"2023-09-22T14:13:16";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_43/tifSicher";"2023-09-22T14:23:17";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_43/tifSicher/r";"2023-09-22T14:23:15";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A64_43/tifSicher/v";"2023-09-22T14:33:00";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_17";"2023-12-05T18:09:25";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_17/tif";"2023-09-22T14:42:57";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_17/tifSicher";"2023-09-22T14:52:28";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_17/tifSicher/r";"2023-09-22T14:52:22";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_17/tifSicher/v";"2023-09-22T15:02:01";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_17/jpg";"2023-09-22T15:02:40";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18";"2023-12-05T18:10:01";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tif";"2023-09-22T15:10:59";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tifSicher";"2023-09-22T15:19:05";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tifSicher/r";"2023-09-22T15:19:02";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/tifSicher/v";"2023-09-22T15:27:08";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_18/jpg";"2023-09-22T15:27:47";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_19";"2023-12-05T18:10:26";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_19/tif";"2023-09-22T15:36:26";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_19/tifSicher";"2023-09-22T15:44:52";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_19/tifSicher/r";"2023-09-22T15:44:49";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_19/tifSicher/v";"2023-09-22T15:53:14";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_19/jpg";"2023-09-22T15:53:44";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_20";"2023-12-05T18:10:53";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_20/tif";"2023-09-22T16:00:44";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_20/jpg";"2023-09-22T16:01:08";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_20/tifSicher";"2023-09-22T16:07:15";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_20/tifSicher/r";"2023-09-22T16:07:13";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_20/tifSicher/v";"2023-09-22T16:13:07";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_21";"2023-12-05T18:14:24";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_21/tif";"2023-12-05T18:14:01";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_21/jpg";"2023-12-05T18:14:24";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_21/tifSicher";"2023-12-05T18:21:05";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_21/tifSicher/r";"2023-12-05T18:21:02";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/A67_21/tifSicher/v";"2023-12-05T18:27:39";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_45";"2023-11-24T10:22:19";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_45/tif";"2023-11-24T10:22:06";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_45/jpg";"2023-11-24T10:22:19";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_45/tifSicher";"2023-11-24T10:27:45";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_45/tifSicher/r";"2023-11-24T10:27:43";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_45/tifSicher/v";"2023-11-24T10:33:01";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_30";"2023-11-24T09:59:30";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_30/tif";"2023-11-24T09:59:17";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_30/jpg";"2023-11-24T09:59:30";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_30/tifSicher";"2023-11-24T10:02:46";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_30/tifSicher/v";"2023-11-24T10:02:44";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_30/tifSicher/r";"2023-11-24T10:04:40";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt";"2023-12-05T16:12:37";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt/jpg";"2023-08-03T09:01:24";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt/raw";"2023-12-05T16:00:19";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt/raw/v";"2023-08-03T09:01:06";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt/tif";"2023-12-05T16:12:37";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt/tif/v";"2023-08-03T09:01:06";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt/tifSicher";"2023-12-05T16:27:28";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt/tifSicher/r";"2023-12-05T16:27:25";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/.S1_72_unvoll_V_fehlt/tifSicher/v";"2023-08-03T09:01:06";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_39";"2023-11-24T10:04:50";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_39/tif";"2023-11-24T10:04:49";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_39/jpg";"2023-11-24T10:04:50";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_39/tifSicher";"2023-11-24T10:04:59";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_39/tifSicher/v";"2023-11-24T10:04:57";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_39/tifSicher/r";"2023-11-24T10:05:07";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72";"2024-08-07T19:46:34";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72/S1_72";"2024-08-08T02:22:28";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72/S1_72/jpg_S1_72";"2024-08-08T01:51:33";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72/S1_72/tif";"2024-08-08T02:22:25";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72/S1_72/tifSicher";"2024-08-08T02:43:37";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72/S1_72/tifSicher/r";"2024-08-08T02:43:34";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72/S1_72/tifSicher/v";"2024-08-08T02:58:03";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72/tif";"2024-08-07T15:10:04";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_72/jpg";"2024-08-07T15:10:04";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_44";"2024-08-08T05:39:29";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_44/jpg";"2024-08-08T04:28:51";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_44/tif";"2024-08-08T05:03:24";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_44/tifSicher";"2024-08-08T04:49:52";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_44/tifSicher/r";"2024-08-08T04:49:49";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_44/tifSicher/v";"2024-08-08T05:06:55";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40";"2023-11-24T10:05:42";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40/tif";"2023-11-24T10:05:40";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40/jpg";"2023-11-24T10:05:42";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40/tifSicher";"2023-11-24T10:06:16";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40/tifSicher/v";"2023-11-24T10:06:15";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40/tifSicher/r";"2023-11-24T10:06:49";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40a";"2023-11-24T10:08:46";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40a/tif";"2023-11-24T10:08:40";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40a/jpg";"2023-11-24T10:08:46";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40a/tifSicher";"2023-11-24T10:11:21";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40a/tifSicher/v";"2023-11-24T10:11:20";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_40a/tifSicher/r";"2023-11-24T10:13:53";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_58";"2023-11-24T10:40:19";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_58/tif";"2023-11-24T10:40:10";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_58/jpg";"2023-11-24T10:40:19";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_58/tifSicher";"2023-11-24T10:44:30";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_58/tifSicher/v";"2023-11-24T10:44:28";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_58/tifSicher/r";"2023-11-24T10:48:45";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_61";"2023-11-24T10:53:20";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_61/tif";"2023-11-24T10:53:14";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_61/jpg";"2023-11-24T10:53:20";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_61/tifSicher";"2023-11-24T10:55:52";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_61/tifSicher/r";"2023-11-24T10:55:51";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_61/tifSicher/v";"2023-11-24T10:58:24";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_62";"2023-11-24T11:01:45";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_62/tif";"2023-11-24T11:01:39";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_62/jpg";"2023-11-24T11:01:45";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_62/tifSicher";"2023-11-24T11:03:33";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_62/tifSicher/v";"2023-11-24T11:03:32";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_62/tifSicher/r";"2023-11-24T11:05:20";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_63";"2023-11-24T11:09:28";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_63/tif";"2023-11-24T11:09:21";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_63/jpg";"2023-11-24T11:09:27";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_63/tifSicher";"2023-11-24T11:11:44";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_63/tifSicher/r";"2023-11-24T11:11:43";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_63/tifSicher/v";"2023-11-24T11:14:01";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_64";"2023-11-24T11:23:10";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_64/tif";"2023-11-24T11:22:58";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_64/jpg";"2023-11-24T11:23:10";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_64/tifSicher";"2023-11-24T11:28:14";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_64/tifSicher/r";"2023-11-24T11:28:13";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_64/tifSicher/v";"2023-11-24T11:33:07";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65";"2023-11-24T11:43:29";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/tif";"2023-11-24T11:43:10";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/jpg";"2023-11-24T11:43:23";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/jpg/page";"2023-11-24T11:43:29";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/tifSicher";"2023-11-24T11:49:11";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/tifSicher/r";"2023-11-24T11:49:10";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_65/tifSicher/v";"2023-11-24T11:54:51";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66";"2023-11-24T12:17:38";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/tif";"2023-11-24T12:05:27";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/tifSicher";"2023-11-24T12:11:33";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/tifSicher/r";"2023-11-24T12:11:31";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/tifSicher/v";"2023-11-24T12:17:36";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_66/jpg";"2023-11-24T12:17:51";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67";"2023-11-24T12:28:32";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/tif";"2023-11-24T12:28:15";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/jpg";"2023-11-24T12:28:32";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/tifSicher";"2023-11-24T12:34:30";yes
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/tifSicher/v";"2023-11-24T12:34:28";no
"/mnt/acdh_resources/container/R_OFM_Graz_22035/S1_67/tifSicher/r";"2023-11-24T12:40:16";no
